date,home_team,away_team,score,venue,referee,home_possession,away_possession,home_passing_accuracy,away_passing_accuracy,home_shots_on_target,away_shots_on_target,home_saves,away_saves,home_passing_accuracy_pct,away_passing_accuracy_pct,home_shots_on_target_pct,away_shots_on_target_pct,home_saves_pct,away_saves_pct,result,winner
2025-11-05,Pafos FC,Villarreal,1–0,Alphamega Stadium,Sven Jablonski,41%,59%,313 of 412,499 of 589,2 of 5,5 of 18,5 of 5,1 of 2,76.0,84.7,40.0,27.8,100.0,50.0,Home Win,Pafos FC
2025-11-05,Manchester City,Dortmund,4–1,Etihad Stadium,Szymon Marciniak,50%,50%,439 of 514,428 of 507,11 of 18,4 of 12,3 of 4,7 of 11,85.4,84.4,61.1,33.3,75.0,63.6,Home Win,Manchester City
2025-11-05,Benfica,Leverkusen,0–1,Estádio do Sport Lisboa e Benfica,Simone Sozza,53%,47%,499 of 574,445 of 508,5 of 21,3 of 7,2 of 3,5 of 5,86.9,87.6,23.8,42.9,66.7,100.0,Away Win,Leverkusen
2025-11-05,Newcastle Utd,Athletic Club,2–0,St James' Park,Ivan Kružliak,58%,42%,451 of 559,292 of 406,4 of 8,5 of 12,5 of 5,2 of 4,80.7,71.9,50.0,41.7,100.0,50.0,Home Win,Newcastle Utd
2025-11-05,Marseille,Atalanta,0–1,Orange Vélodrome,Jose Maria Sánchez,53%,47%,421 of 522,377 of 464,4 of 15,2 of 7,1 of 2,4 of 4,80.7,81.2,26.7,28.6,50.0,100.0,Away Win,Atalanta
2025-11-05,Inter,Qaırat Almaty,2–1,Stadio Giuseppe Meazza,Luís Godinho,65%,35%,533 of 640,251 of 343,8 of 23,3 of 7,2 of 3,6 of 8,83.3,73.2,34.8,42.9,66.7,75.0,Home Win,Inter
2025-11-05,Club Brugge,Barcelona,3–3,Jan Breydelstadion,Anthony Taylor,25%,75%,183 of 253,696 of 773,6 of 10,6 of 23,4 of 6,3 of 6,72.3,90.0,60.0,26.1,66.7,50.0,Draw,Draw
2025-11-05,Ajax,Galatasaray,0–3,Johan Cruijff Arena,Benoît Bastien,48%,52%,432 of 498,467 of 539,2 of 8,6 of 12,5 of 6,2 of 2,86.7,86.6,25.0,50.0,83.3,100.0,Away Win,Galatasaray
2025-11-05,Qarabağ,Chelsea,2–2,Tofiq Bəhramov adına Respublika stadionu,Sebastian Gishamer,39%,61%,257 of 338,452 of 527,2 of 8,4 of 16,2 of 4,1 of 2,76.0,85.8,25.0,25.0,50.0,50.0,Draw,Draw
,,,,,,,,,,,,,,,,,,,,,
